tag,value,global_step
train/reward_mean,-0.44139249915157475,4096
train/policy_loss,0.007499947534453796,4096
train/value_loss,240.3694459171777,4096
train/entropy,14.704857992039312,4096
train/best_reward,118.73058471908865,4096
curriculum/stage,0,4096
train/reward_mean,-2.4351933595218793,8192
train/policy_loss,-0.014174098235227747,8192
train/value_loss,236.81751540984544,8192
train/entropy,14.707401070298479,8192
train/best_reward,118.73058471908865,8192
curriculum/stage,0,8192
train/reward_mean,-0.3386431375364967,12288
train/policy_loss,-0.01834167367918828,12288
train/value_loss,255.77209061512724,12288
train/entropy,14.708233430130468,12288
train/best_reward,118.73058471908865,12288
curriculum/stage,0,12288
train/reward_mean,-1.5172048388749722,16384
train/policy_loss,-0.015847457601296137,16384
train/value_loss,209.61996081559678,16384
train/entropy,14.708313751084878,16384
train/best_reward,118.73058471908865,16384
curriculum/stage,0,16384
train/reward_mean,1.8949604745311301,20480
train/policy_loss,-0.019643452248533765,20480
train/value_loss,219.26767190853073,20480
train/entropy,14.710525889422602,20480
train/best_reward,118.73058471908865,20480
curriculum/stage,0,20480
train/reward_mean,-2.9218737412551397,24576
train/policy_loss,-0.01949773270263624,24576
train/value_loss,244.14675927535237,24576
train/entropy,14.71291493492903,24576
train/best_reward,118.73058471908865,24576
curriculum/stage,0,24576
train/reward_mean,-0.10144613281916652,28672
train/policy_loss,-0.017065790910146466,28672
train/value_loss,205.3336860466653,28672
train/entropy,14.715198551742708,28672
train/best_reward,118.73058471908865,28672
curriculum/stage,0,28672
train/reward_mean,0.013815364161809644,32768
train/policy_loss,-0.018163116995772784,32768
train/value_loss,191.19175147669364,32768
train/entropy,14.716329490647931,32768
train/best_reward,118.73058471908865,32768
curriculum/stage,0,32768
train/reward_mean,-0.40640860947078955,36864
train/policy_loss,-0.018396027902844243,36864
train/value_loss,189.94144276192318,36864
train/entropy,14.720070791956518,36864
train/best_reward,118.73058471908865,36864
curriculum/stage,0,36864
train/reward_mean,-0.5328842312052495,40960
train/policy_loss,-0.017334672768351298,40960
train/value_loss,211.78543024419488,40960
train/entropy,14.720945332615925,40960
train/best_reward,118.73058471908865,40960
curriculum/stage,0,40960
train/reward_mean,-1.0274771800560787,45056
train/policy_loss,-0.017481892278975297,45056
train/value_loss,172.19669747565922,45056
train/entropy,14.7225309078552,45056
train/best_reward,118.73058471908865,45056
curriculum/stage,0,45056
train/reward_mean,2.7607846216800884,49152
train/policy_loss,-0.016492578902687193,49152
train/value_loss,159.0803698949158,49152
train/entropy,14.72592977883175,49152
train/best_reward,118.73058471908865,49152
curriculum/stage,0,49152
train/reward_mean,-1.2375164991320837,53248
train/policy_loss,-0.01638037594169124,53248
train/value_loss,201.34397179034298,53248
train/entropy,14.72778686900023,53248
train/best_reward,118.73058471908865,53248
curriculum/stage,0,53248
train/reward_mean,-0.6198489197702042,57344
train/policy_loss,-0.01711058647810941,57344
train/value_loss,174.26293158694912,57344
train/entropy,14.72965912693511,57344
train/best_reward,118.73058471908865,57344
curriculum/stage,0,57344
