episode,global_step,steps,reward,distance_m,load_dropped,robot_fallen,best_reward,is_best,curriculum_stage
1,33,33,-162.0935,0.0142,false,true,-162.0935,true,Stand
2,46,13,-48.5623,0.0582,false,true,-48.5623,true,Stand
3,62,16,-79.6175,0.0384,true,false,-48.5623,false,Stand
4,78,16,-61.3251,0.0563,true,false,-48.5623,false,Stand
5,99,21,-30.0867,0.2910,true,false,-30.0867,true,Stand
6,111,12,-52.7229,0.0679,false,true,-30.0867,false,Stand
7,132,21,-61.0103,0.0934,true,false,-30.0867,false,Stand
8,144,12,-52.5081,0.0287,false,true,-30.0867,false,Stand
9,164,20,-30.4642,0.2652,false,true,-30.0867,false,Stand
10,176,12,-53.0567,0.0745,false,true,-30.0867,false,Stand
11,193,17,-31.7400,0.2506,false,true,-30.0867,false,Stand
12,217,24,-33.9214,0.3571,false,true,-30.0867,false,Stand
13,240,23,-75.1578,0.0287,false,true,-30.0867,false,Stand
14,259,19,-72.2448,0.0130,false,true,-30.0867,false,Stand
15,279,20,-31.6428,0.2935,true,false,-30.0867,false,Stand
16,300,21,-28.5714,0.3130,true,false,-28.5714,true,Stand
17,326,26,-102.9071,0.0173,false,true,-28.5714,false,Stand
18,338,12,-53.0902,0.0248,false,true,-28.5714,false,Stand
19,354,16,-78.2907,0.0178,true,false,-28.5714,false,Stand
20,379,25,-57.3559,0.1594,false,true,-28.5714,false,Stand
21,401,22,-45.1993,0.1249,true,false,-28.5714,false,Stand
22,419,18,-19.4399,0.4029,true,false,-19.4399,true,Stand
23,442,23,-56.0134,0.1901,false,true,-19.4399,false,Stand
24,464,22,-80.8721,0.0782,true,false,-19.4399,false,Stand
25,491,27,-13.5434,0.5335,false,true,-13.5434,true,Stand
26,503,12,-42.8147,0.1392,false,true,-13.5434,false,Stand
27,530,27,-34.6759,0.2710,true,false,-13.5434,false,Stand
28,553,23,-23.9166,0.3444,true,false,-13.5434,false,Stand
29,579,26,-8.3777,0.5382,false,true,-8.3777,true,Stand
30,611,32,-151.1700,0.0562,false,true,-8.3777,false,Stand
31,640,29,-92.4361,0.1052,true,false,-8.3777,false,Stand
32,661,21,-85.0923,0.0261,true,false,-8.3777,false,Stand
33,682,21,-28.4009,0.3338,true,false,-8.3777,false,Stand
34,707,25,-77.1486,0.0600,true,true,-8.3777,false,Stand
35,746,39,-40.9147,0.4934,false,true,-8.3777,false,Stand
36,766,20,-49.0182,0.1146,true,false,-8.3777,false,Stand
37,793,27,-46.4376,0.1571,true,false,-8.3777,false,Stand
38,813,20,-68.7197,0.0541,true,false,-8.3777,false,Stand
39,824,11,-50.7528,0.0358,false,true,-8.3777,false,Stand
40,838,14,-70.6893,0.0080,false,true,-8.3777,false,Stand
41,891,53,-127.5703,0.0656,true,false,-8.3777,false,Stand
42,913,22,-82.5968,0.0388,false,true,-8.3777,false,Stand
43,944,31,-104.2732,0.0687,false,true,-8.3777,false,Stand
44,962,18,-62.5191,0.0825,false,true,-8.3777,false,Stand
45,989,27,-105.9575,0.0233,false,true,-8.3777,false,Stand
46,1012,23,-85.8008,0.0325,true,false,-8.3777,false,Stand
47,1024,12,-53.8083,0.0487,false,true,-8.3777,false,Stand
48,1043,19,-51.6220,0.0847,true,false,-8.3777,false,Stand
49,1076,33,-111.2310,0.0428,true,false,-8.3777,false,Stand
50,1093,17,-80.4356,0.0465,false,true,-8.3777,false,Stand
51,1111,18,-55.8879,0.1008,false,true,-8.3777,false,Stand
52,1130,19,-70.2070,0.0165,true,false,-8.3777,false,Stand
53,1157,27,1.7676,0.7794,true,false,1.7676,true,Stand
54,1179,22,-40.3967,0.2186,true,false,1.7676,false,Stand
55,1201,22,-33.2218,0.2961,true,false,1.7676,false,Stand
56,1225,24,-86.6470,0.0875,true,false,1.7676,false,Stand
57,1264,39,-167.6617,0.0169,false,true,1.7676,false,Stand
58,1288,24,-100.5676,0.0319,false,true,1.7676,false,Stand
59,1300,12,-51.8887,0.0249,false,true,1.7676,false,Stand
60,1326,26,-53.2057,0.2036,false,true,1.7676,false,Stand
61,1344,18,-50.1927,0.1277,true,false,1.7676,false,Stand
62,1361,17,-37.2564,0.2292,true,false,1.7676,false,Stand
63,1382,21,-69.1685,0.0225,true,false,1.7676,false,Stand
64,1399,17,-66.7872,0.0326,false,true,1.7676,false,Stand
65,1413,14,-47.6466,0.0931,false,true,1.7676,false,Stand
66,1427,14,-43.9309,0.1184,false,true,1.7676,false,Stand
67,1447,20,-78.7538,0.0213,false,true,1.7676,false,Stand
68,1461,14,-50.7482,0.0872,false,true,1.7676,false,Stand
69,1485,24,-137.7274,0.0242,false,true,1.7676,false,Stand
70,1502,17,-85.5760,0.0291,true,false,1.7676,false,Stand
71,1521,19,-70.5073,0.0340,true,false,1.7676,false,Stand
72,1541,20,-74.6593,0.0830,false,true,1.7676,false,Stand
73,1565,24,-44.6269,0.2416,true,false,1.7676,false,Stand
74,1585,20,-81.7559,0.0342,true,false,1.7676,false,Stand
75,1598,13,-48.9942,0.0588,false,true,1.7676,false,Stand
76,1627,29,-56.9454,0.2838,false,true,1.7676,false,Stand
77,1655,28,4.1112,0.7870,false,true,4.1112,true,Stand
78,1674,19,-72.2526,0.0197,true,false,4.1112,false,Stand
79,1686,12,-48.0315,0.0941,false,true,4.1112,false,Stand
80,1698,12,-46.9210,0.0786,false,true,4.1112,false,Stand
81,1718,20,-76.8032,0.0275,false,true,4.1112,false,Stand
82,1739,21,-75.0164,0.0506,true,false,4.1112,false,Stand
83,1766,27,-81.0486,0.0970,true,false,4.1112,false,Stand
84,1806,40,-65.2792,0.3662,false,true,4.1112,false,Stand
85,1820,14,-62.1821,0.0349,false,true,4.1112,false,Stand
86,1841,21,-46.4070,0.1637,false,true,4.1112,false,Stand
87,1857,16,-65.4873,0.0208,false,true,4.1112,false,Stand
88,1878,21,-47.5778,0.1948,true,false,4.1112,false,Stand
89,1897,19,-80.1726,0.0607,false,true,4.1112,false,Stand
90,1914,17,-75.2741,0.0647,false,true,4.1112,false,Stand
91,1926,12,-47.0644,0.0764,false,true,4.1112,false,Stand
92,1951,25,-91.1049,0.0541,true,false,4.1112,false,Stand
93,1970,19,-34.9577,0.2506,true,false,4.1112,false,Stand
94,1992,22,-79.8251,0.0375,true,false,4.1112,false,Stand
95,2013,21,-38.6516,0.2306,false,true,4.1112,false,Stand
96,2033,20,-93.1140,0.0243,true,false,4.1112,false,Stand
97,2052,19,-29.1023,0.3019,true,false,4.1112,false,Stand
98,2073,21,-100.4489,0.0265,true,false,4.1112,false,Stand
99,2105,32,-76.5148,0.1878,false,true,4.1112,false,Stand
100,2133,28,-46.7385,0.2202,false,true,4.1112,false,Stand
101,2154,21,-54.4348,0.1189,true,false,4.1112,false,Stand
102,2171,17,-33.5265,0.2308,false,true,4.1112,false,Stand
103,2197,26,-123.0364,0.0362,false,true,4.1112,false,Stand
104,2219,22,6.8296,0.7261,false,true,6.8296,true,Stand
105,2237,18,-81.6956,0.0638,true,false,6.8296,false,Stand
106,2250,13,-55.9231,0.0302,false,true,6.8296,false,Stand
107,2272,22,-81.0837,0.0415,true,false,6.8296,false,Stand
108,2294,22,-73.2310,0.0886,false,true,6.8296,false,Stand
109,2315,21,-45.2712,0.1293,true,false,6.8296,false,Stand
110,2333,18,-84.1301,0.0084,true,false,6.8296,false,Stand
111,2352,19,-81.2024,0.0282,true,false,6.8296,false,Stand
112,2375,23,-73.7403,0.0959,true,false,6.8296,false,Stand
113,2388,13,-57.8080,0.0429,false,true,6.8296,false,Stand
114,2405,17,-76.5345,0.0523,false,true,6.8296,false,Stand
115,2426,21,-116.2971,0.0612,true,false,6.8296,false,Stand
116,2451,25,-112.2278,0.0311,false,true,6.8296,false,Stand
117,2464,13,-48.3556,0.0712,false,true,6.8296,false,Stand
118,2486,22,-80.7599,0.0565,true,false,6.8296,false,Stand
119,2505,19,-49.1239,0.1702,false,true,6.8296,false,Stand
120,2527,22,-25.4805,0.3446,false,true,6.8296,false,Stand
121,2546,19,-92.2757,0.0071,true,false,6.8296,false,Stand
122,2565,19,-36.7637,0.2185,false,true,6.8296,false,Stand
123,2591,26,-66.2322,0.0901,false,true,6.8296,false,Stand
124,2623,32,-70.3049,0.0982,false,true,6.8296,false,Stand
125,2635,12,-48.6618,0.0739,false,true,6.8296,false,Stand
126,2660,25,-84.6790,0.0453,false,true,6.8296,false,Stand
127,2688,28,-97.3581,0.0307,false,true,6.8296,false,Stand
128,2700,12,-48.5240,0.0781,false,true,6.8296,false,Stand
129,2721,21,-74.0925,0.0480,true,false,6.8296,false,Stand
130,2734,13,-50.5278,0.0653,false,true,6.8296,false,Stand
131,2758,24,-90.7809,0.0413,true,false,6.8296,false,Stand
132,2775,17,-62.4309,0.0891,false,true,6.8296,false,Stand
133,2788,13,-52.2801,0.0308,false,true,6.8296,false,Stand
134,2810,22,-85.6508,0.0540,false,true,6.8296,false,Stand
135,2830,20,-45.0774,0.2440,false,true,6.8296,false,Stand
136,2856,26,-47.9323,0.1821,false,true,6.8296,false,Stand
137,2877,21,-86.3258,0.0545,true,false,6.8296,false,Stand
138,2891,14,-74.3925,0.0055,false,true,6.8296,false,Stand
139,2913,22,-78.7922,0.0311,true,false,6.8296,false,Stand
140,2928,15,-46.0833,0.0937,false,true,6.8296,false,Stand
141,2949,21,-75.9834,0.0707,true,false,6.8296,false,Stand
142,2974,25,-20.6697,0.3997,true,false,6.8296,false,Stand
143,2991,17,-63.0433,0.0839,false,true,6.8296,false,Stand
144,3008,17,-71.7089,0.0227,true,false,6.8296,false,Stand
145,3034,26,-57.0730,0.2628,false,true,6.8296,false,Stand
146,3055,21,-25.9099,0.3425,true,false,6.8296,false,Stand
147,3072,17,-82.1358,0.0185,false,true,6.8296,false,Stand
148,3120,48,-160.6018,0.0332,true,true,6.8296,false,Stand
149,3132,12,-48.6269,0.0810,false,true,6.8296,false,Stand
150,3145,13,-47.2281,0.0841,false,true,6.8296,false,Stand
151,3171,26,-96.3211,0.0371,false,true,6.8296,false,Stand
152,3188,17,-81.9996,0.0335,true,false,6.8296,false,Stand
153,3217,29,-26.1099,0.5782,false,true,6.8296,false,Stand
154,3238,21,-90.0555,0.0824,false,true,6.8296,false,Stand
155,3258,20,-60.0239,0.0308,false,true,6.8296,false,Stand
156,3290,32,10.1068,0.8328,false,true,10.1068,true,Stand
157,3302,12,-54.8087,0.0419,false,true,10.1068,false,Stand
158,3314,12,-46.3987,0.0855,false,true,10.1068,false,Stand
159,3337,23,-28.6323,0.4253,true,false,10.1068,false,Stand
160,3365,28,-55.0119,0.1473,true,false,10.1068,false,Stand
161,3378,13,-45.3064,0.1343,false,true,10.1068,false,Stand
162,3392,14,-45.8905,0.0905,false,true,10.1068,false,Stand
163,3424,32,-56.6419,0.2577,false,true,10.1068,false,Stand
164,3437,13,-57.0466,0.0482,false,true,10.1068,false,Stand
165,3456,19,-71.4332,0.0649,true,false,10.1068,false,Stand
166,3476,20,-84.7391,0.0176,true,false,10.1068,false,Stand
167,3500,24,-79.4646,0.0386,true,false,10.1068,false,Stand
168,3521,21,-119.9113,0.0071,true,false,10.1068,false,Stand
169,3561,40,-84.5505,0.1507,false,true,10.1068,false,Stand
170,3574,13,-51.5636,0.0337,false,true,10.1068,false,Stand
171,3586,12,-52.0891,0.0918,false,true,10.1068,false,Stand
172,3616,30,-61.9480,0.1635,false,true,10.1068,false,Stand
173,3634,18,-66.1079,0.0545,true,false,10.1068,false,Stand
174,3656,22,-85.9657,0.0429,true,false,10.1068,false,Stand
175,3677,21,-52.4442,0.1517,true,false,10.1068,false,Stand
176,3698,21,-93.4698,0.0289,true,false,10.1068,false,Stand
177,3725,27,-95.5435,0.0746,true,false,10.1068,false,Stand
178,3751,26,1.8948,0.6186,true,false,10.1068,false,Stand
179,3792,41,-74.4434,0.2332,false,true,10.1068,false,Stand
180,3808,16,-50.1560,0.1106,true,false,10.1068,false,Stand
181,3832,24,-73.5666,0.0626,true,false,10.1068,false,Stand
182,3857,25,-103.5707,0.0679,false,true,10.1068,false,Stand
183,3878,21,-94.4963,0.0043,true,false,10.1068,false,Stand
184,3902,24,-17.5927,0.4265,true,false,10.1068,false,Stand
185,3922,20,-73.0986,0.0172,true,false,10.1068,false,Stand
186,3949,27,-55.9803,0.2259,true,false,10.1068,false,Stand
187,3972,23,-56.3827,0.1160,true,false,10.1068,false,Stand
188,4007,35,-103.4713,0.0501,false,true,10.1068,false,Stand
189,4031,24,-65.4526,0.0254,true,false,10.1068,false,Stand
190,4062,31,-68.2537,0.2030,false,true,10.1068,false,Stand
191,4084,22,-79.2505,0.0460,true,false,10.1068,false,Stand
192,4106,22,-54.4217,0.1168,false,true,10.1068,false,Stand
193,4119,13,-40.7618,0.1492,false,true,10.1068,false,Stand
194,4148,29,-68.1038,0.0862,true,false,10.1068,false,Stand
195,4169,21,-32.9487,0.2585,true,false,10.1068,false,Stand
196,4184,15,-66.2748,0.0285,false,true,10.1068,false,Stand
197,4206,22,-73.7081,0.0168,true,false,10.1068,false,Stand
198,4219,13,-52.4113,0.0792,false,true,10.1068,false,Stand
199,4234,15,-81.1184,0.0183,false,true,10.1068,false,Stand
200,4246,12,-63.3761,0.0363,false,true,10.1068,false,Stand
