episode,global_step,steps,reward,distance_m,load_dropped,robot_fallen,best_reward,is_best,curriculum_stage
1,29,29,12.4559,0.2789,true,false,12.4559,true,Stand
2,47,18,-3.7379,0.0443,false,true,12.4559,false,Stand
3,72,25,7.5484,0.1797,false,true,12.4559,false,Stand
4,84,12,11.2852,0.1457,false,true,12.4559,false,Stand
5,105,21,14.6422,0.1813,false,true,14.6422,true,Stand
6,127,22,10.3868,0.1038,true,false,14.6422,false,Stand
7,153,26,-35.4184,0.0784,false,true,14.6422,false,Stand
8,168,15,-9.2896,0.0317,false,true,14.6422,false,Stand
9,192,24,-44.7188,0.0014,false,true,14.6422,false,Stand
10,210,18,17.7939,0.1840,false,true,17.7939,true,Stand
11,231,21,19.1270,0.1853,true,false,19.1270,true,Stand
12,243,12,3.7188,0.1172,false,true,19.1270,false,Stand
13,268,25,-20.5307,0.0665,false,true,19.1270,false,Stand
14,281,13,-0.2832,0.0746,false,true,19.1270,false,Stand
15,294,13,-0.9652,0.0450,false,true,19.1270,false,Stand
16,315,21,35.3866,0.3320,true,false,35.3866,true,Stand
17,329,14,-10.8338,0.0394,false,true,35.3866,false,Stand
18,348,19,-15.1628,0.0259,true,false,35.3866,false,Stand
19,372,24,12.9757,0.1231,true,false,35.3866,false,Stand
20,392,20,-33.6813,0.0270,false,true,35.3866,false,Stand
21,437,45,-34.3950,0.0741,false,true,35.3866,false,Stand
22,450,13,1.3602,0.0477,false,true,35.3866,false,Stand
23,473,23,13.9187,0.1696,false,true,35.3866,false,Stand
24,495,22,0.3886,0.0921,true,false,35.3866,false,Stand
25,517,22,2.0775,0.2107,true,false,35.3866,false,Stand
26,544,27,-25.7807,0.0632,false,true,35.3866,false,Stand
27,565,21,-25.2103,0.0607,true,false,35.3866,false,Stand
28,577,12,-1.1035,0.0575,false,true,35.3866,false,Stand
29,603,26,28.4438,0.2980,false,true,35.3866,false,Stand
30,625,22,-19.1066,0.0406,false,true,35.3866,false,Stand
31,644,19,-55.4843,0.0246,true,false,35.3866,false,Stand
32,665,21,-4.6753,0.0491,true,false,35.3866,false,Stand
33,686,21,-22.9755,0.0223,true,false,35.3866,false,Stand
34,712,26,22.1120,0.3189,false,true,35.3866,false,Stand
35,734,22,-23.9369,0.0861,true,false,35.3866,false,Stand
36,757,23,-42.1621,0.1103,true,false,35.3866,false,Stand
37,779,22,-39.2470,0.0523,true,false,35.3866,false,Stand
38,805,26,-25.0107,0.0674,false,true,35.3866,false,Stand
39,821,16,-7.2677,0.0599,false,true,35.3866,false,Stand
40,847,26,7.1678,0.1749,false,true,35.3866,false,Stand
41,871,24,29.6369,0.3498,false,true,35.3866,false,Stand
42,895,24,40.8994,0.4481,false,true,40.8994,true,Stand
43,912,17,-40.9778,0.0192,true,false,40.8994,false,Stand
44,931,19,-0.2158,0.1006,true,false,40.8994,false,Stand
45,951,20,-11.9687,0.0564,true,false,40.8994,false,Stand
46,973,22,34.2059,0.4287,false,true,40.8994,false,Stand
47,999,26,14.1892,0.2387,true,false,40.8994,false,Stand
48,1017,18,24.7094,0.2442,true,false,40.8994,false,Stand
49,1032,15,12.0097,0.1715,false,true,40.8994,false,Stand
50,1044,12,9.6750,0.1480,false,true,40.8994,false,Stand
51,1072,28,9.5852,0.2978,false,true,40.8994,false,Stand
52,1086,14,5.6998,0.0929,false,true,40.8994,false,Stand
53,1110,24,17.9729,0.2572,true,false,40.8994,false,Stand
54,1128,18,-12.1304,0.0374,true,false,40.8994,false,Stand
55,1140,12,4.9726,0.0944,false,true,40.8994,false,Stand
56,1165,25,-52.5657,0.0198,false,true,40.8994,false,Stand
57,1185,20,-21.1025,0.0490,true,false,40.8994,false,Stand
58,1199,14,6.2599,0.0718,false,true,40.8994,false,Stand
59,1213,14,0.7922,0.0557,false,true,40.8994,false,Stand
60,1231,18,37.6469,0.3625,true,false,40.8994,false,Stand
61,1250,19,28.6706,0.3229,true,false,40.8994,false,Stand
62,1272,22,-11.0412,0.0084,true,false,40.8994,false,Stand
63,1291,19,33.1877,0.3265,true,false,40.8994,false,Stand
64,1310,19,19.7622,0.2424,true,false,40.8994,false,Stand
65,1322,12,-4.5073,0.0467,false,true,40.8994,false,Stand
66,1335,13,2.1426,0.1131,false,true,40.8994,false,Stand
67,1347,12,7.7533,0.1130,false,true,40.8994,false,Stand
68,1360,13,8.0139,0.1065,false,true,40.8994,false,Stand
69,1379,19,13.3050,0.1435,true,false,40.8994,false,Stand
70,1399,20,-25.3058,0.0788,true,false,40.8994,false,Stand
71,1417,18,-33.4597,0.0268,true,false,40.8994,false,Stand
72,1438,21,34.0430,0.3726,true,false,40.8994,false,Stand
73,1454,16,-39.8284,0.0095,true,false,40.8994,false,Stand
74,1476,22,-18.3863,0.0269,true,false,40.8994,false,Stand
75,1499,23,-49.5102,0.0012,false,true,40.8994,false,Stand
76,1518,19,-3.3024,0.0416,false,true,40.8994,false,Stand
77,1539,21,-11.4749,0.0419,false,true,40.8994,false,Stand
78,1552,13,-4.4923,0.0398,false,true,40.8994,false,Stand
79,1579,27,45.4306,0.4588,false,true,45.4306,true,Stand
80,1598,19,11.1988,0.1371,true,false,45.4306,false,Stand
81,1624,26,46.7834,0.5596,false,true,46.7834,true,Stand
82,1636,12,-6.6290,0.0186,false,true,46.7834,false,Stand
83,1657,21,-49.8401,0.0067,false,true,46.7834,false,Stand
84,1676,19,18.4778,0.2171,true,false,46.7834,false,Stand
85,1693,17,-36.8705,0.0264,true,false,46.7834,false,Stand
86,1724,31,-37.2171,0.0872,false,true,46.7834,false,Stand
87,1741,17,35.7367,0.3782,true,false,46.7834,false,Stand
88,1762,21,34.8175,0.4051,true,false,46.7834,false,Stand
89,1781,19,51.9807,0.5502,true,false,51.9807,true,Stand
90,1793,12,-3.2213,0.0488,false,true,51.9807,false,Stand
91,1813,20,-9.0934,0.0812,true,false,51.9807,false,Stand
92,1837,24,-28.8033,0.0569,true,false,51.9807,false,Stand
93,1849,12,4.8890,0.0748,false,true,51.9807,false,Stand
94,1872,23,2.9533,0.0921,false,true,51.9807,false,Stand
95,1899,27,-66.3396,0.0236,true,false,51.9807,false,Stand
96,1915,16,-5.6377,0.0355,false,true,51.9807,false,Stand
97,1935,20,-0.0324,0.1432,false,true,51.9807,false,Stand
98,1947,12,-0.4865,0.0664,false,true,51.9807,false,Stand
99,1980,33,5.0349,0.2517,false,true,51.9807,false,Stand
100,2003,23,44.7681,0.4299,true,false,51.9807,false,Stand
101,2016,13,11.0728,0.1258,false,true,51.9807,false,Stand
102,2035,19,-32.2941,0.0371,true,false,51.9807,false,Stand
103,2048,13,-0.5169,0.0472,false,true,51.9807,false,Stand
104,2072,24,-28.0862,0.0168,true,false,51.9807,false,Stand
105,2094,22,-12.4656,0.0991,true,false,51.9807,false,Stand
106,2129,35,-87.0319,0.0510,false,true,51.9807,false,Stand
107,2150,21,36.4383,0.3543,true,false,51.9807,false,Stand
108,2162,12,0.2397,0.0801,false,true,51.9807,false,Stand
109,2188,26,8.5374,0.1526,false,true,51.9807,false,Stand
110,2203,15,6.1574,0.1275,false,true,51.9807,false,Stand
111,2233,30,54.0562,0.6108,false,true,54.0562,true,Stand
112,2263,30,-24.1458,0.1378,false,true,54.0562,false,Stand
113,2288,25,-37.4756,0.0566,true,false,54.0562,false,Stand
114,2308,20,17.9310,0.2292,false,true,54.0562,false,Stand
115,2320,12,0.7229,0.0444,false,true,54.0562,false,Stand
116,2333,13,0.9024,0.0412,false,true,54.0562,false,Stand
117,2352,19,18.3915,0.1926,false,true,54.0562,false,Stand
118,2363,11,0.7435,0.0544,false,true,54.0562,false,Stand
119,2387,24,-15.9733,0.0620,false,true,54.0562,false,Stand
120,2409,22,17.9863,0.2924,false,true,54.0562,false,Stand
121,2429,20,-50.6508,0.0269,true,false,54.0562,false,Stand
122,2444,15,-0.1148,0.0699,false,true,54.0562,false,Stand
123,2462,18,-39.9080,0.0134,true,false,54.0562,false,Stand
124,2481,19,18.1785,0.2402,false,true,54.0562,false,Stand
125,2500,19,5.9138,0.1456,true,false,54.0562,false,Stand
126,2519,19,-10.5283,0.0633,false,true,54.0562,false,Stand
