tag,value,global_step
train/reward_mean,-64.46725403801283,4096
train/policy_loss,0.017454214949698236,4096
train/value_loss,1515.6074728306764,4096
train/entropy,14.702853237325812,4096
train/best_reward,10.106823383129388,4096
curriculum/stage,0,4096
train/reward_mean,-65.35426659691404,8192
train/policy_loss,-0.017829979479954933,8192
train/value_loss,1588.5931798761856,8192
train/entropy,14.704348936190954,8192
train/best_reward,10.106823383129388,8192
curriculum/stage,0,8192
train/reward_mean,-65.01035293816003,12288
train/policy_loss,-0.0205863451262743,12288
train/value_loss,1507.4147249300709,12288
train/entropy,14.704980455736962,12288
train/best_reward,25.060949949756576,12288
curriculum/stage,0,12288
train/reward_mean,-60.20268883277039,16384
train/policy_loss,-0.01770751194410859,16384
train/value_loss,1384.1148391534484,16384
train/entropy,14.707213172663877,16384
train/best_reward,25.060949949756576,16384
curriculum/stage,0,16384
train/reward_mean,-63.79300486352977,20480
train/policy_loss,-0.017935838748322035,20480
train/value_loss,1500.595075994095,20480
train/entropy,14.709564709538213,20480
train/best_reward,25.060949949756576,20480
curriculum/stage,0,20480
train/reward_mean,-64.28597733917873,24576
train/policy_loss,-0.0191873127079863,24576
train/value_loss,1411.9401446568372,24576
train/entropy,14.712120947931473,24576
train/best_reward,25.060949949756576,24576
curriculum/stage,0,24576
train/reward_mean,-62.50249862193941,28672
train/policy_loss,-0.017256177035219374,28672
train/value_loss,1310.8658281000785,28672
train/entropy,14.71330709367984,28672
train/best_reward,25.060949949756576,28672
curriculum/stage,0,28672
train/reward_mean,-60.65144874471704,32768
train/policy_loss,-0.017121248133631122,32768
train/value_loss,1226.868814518803,32768
train/entropy,14.71556634625073,32768
train/best_reward,25.060949949756576,32768
curriculum/stage,0,32768
train/reward_mean,-62.630034011462335,36864
train/policy_loss,-0.018350872585686698,36864
train/value_loss,1280.6749329583058,36864
train/entropy,14.718457457106721,36864
train/best_reward,25.060949949756576,36864
curriculum/stage,0,36864
train/reward_mean,-59.399689583741704,40960
train/policy_loss,-0.01516106721179707,40960
train/value_loss,1111.895659010492,40960
train/entropy,14.722219975761366,40960
train/best_reward,25.060949949756576,40960
curriculum/stage,0,40960
train/reward_mean,-61.77820053263838,45056
train/policy_loss,-0.017566768879229956,45056
train/value_loss,1138.7516590389732,45056
train/entropy,14.72553202977089,45056
train/best_reward,25.060949949756576,45056
curriculum/stage,0,45056
train/reward_mean,-59.72638608996567,49152
train/policy_loss,-0.017861654840343213,49152
train/value_loss,1049.4009630748053,49152
train/entropy,14.726549266361578,49152
train/best_reward,25.060949949756576,49152
curriculum/stage,0,49152
train/reward_mean,-57.46659023988448,53248
train/policy_loss,-0.017871764087159736,53248
train/value_loss,974.058322339276,53248
train/entropy,14.728068725927622,53248
train/best_reward,46.64316073368355,53248
curriculum/stage,0,53248
train/reward_mean,-61.80281224435293,57344
train/policy_loss,-0.015585349380450576,57344
train/value_loss,1009.8595579960178,57344
train/entropy,14.728812184978352,57344
train/best_reward,46.64316073368355,57344
curriculum/stage,0,57344
train/reward_mean,-57.77949972387962,61440
train/policy_loss,-0.0187649220150313,61440
train/value_loss,807.7675148979341,61440
train/entropy,14.730023243973708,61440
train/best_reward,46.64316073368355,61440
curriculum/stage,0,61440
train/reward_mean,-58.80377128070743,65536
train/policy_loss,-0.01642657107211368,65536
train/value_loss,833.4806243789783,65536
train/entropy,14.731632148016162,65536
train/best_reward,46.64316073368355,65536
curriculum/stage,0,65536
