tag,value,global_step
train/reward_mean,-5.494125510945238,4096
train/policy_loss,-0.020241687958284568,4096
train/value_loss,186.69330198545694,4096
train/entropy,14.7151722527871,4096
train/best_reward,54.05617126333963,4096
curriculum/stage,0,4096
train/reward_mean,-3.9361692800574524,8192
train/policy_loss,-0.05870216849384856,8192
train/value_loss,181.3259529796562,8192
train/entropy,14.7189778396788,8192
train/best_reward,73.43519203381442,8192
curriculum/stage,0,8192
train/reward_mean,-3.656330869912838,12288
train/policy_loss,-0.06250879461675578,12288
train/value_loss,193.2049102764905,12288
train/entropy,14.733407541696618,12288
train/best_reward,73.43519203381442,12288
curriculum/stage,0,12288
train/reward_mean,2.4309181016676873,16384
train/policy_loss,-0.0647191263985439,16384
train/value_loss,166.69293817541634,16384
train/entropy,14.73711735032656,16384
train/best_reward,73.43519203381442,16384
curriculum/stage,0,16384
train/reward_mean,-0.014423933623172952,20480
train/policy_loss,-0.06391713193608857,20480
train/value_loss,169.5932455399782,20480
train/entropy,14.73848804921689,20480
train/best_reward,73.43519203381442,20480
curriculum/stage,0,20480
train/reward_mean,2.01664576851449,24576
train/policy_loss,-0.060238485913522516,24576
train/value_loss,203.77044176386568,24576
train/entropy,14.740071991325715,24576
train/best_reward,91.4216289958794,24576
curriculum/stage,0,24576
train/reward_mean,2.2717552570363777,28672
train/policy_loss,-0.06293025206007413,28672
train/value_loss,175.35711689525905,28672
train/entropy,14.745861299643497,28672
train/best_reward,91.4216289958794,28672
curriculum/stage,0,28672
